sale_id,sale_date,customer_name,country,product_name,category,quantity,unit_price
1,2026-01-05,Ana Silva,Portugal,Laptop,Computers,1,1200
2,2026-01-06,João Costa,Portugal,Mouse,Accessories,2,25
3,2026-01-07,Maria Santos,Spain,Keyboard,Accessories,1,80
4,2026-01-08,Pedro Alves,Portugal,Laptop,Computers,1,1200
5,2026-01-10,Ana Silva,Portugal,Monitor,Computers,2,300
6,2026-01-11,Carlos Ruiz,Spain,Mouse,Accessories,3,25
7,2026-01-12,João Costa,Portugal,Keyboard,Accessories,1,80
8,2026-01-15,Maria Santos,Spain,Laptop,Computers,1,1200
9,2026-01-18,Pedro Alves,Portugal,Monitor,Computers,1,300
10,2026-01-20,Carlos Ruiz,Spain,Keyboard,Accessories,2,80
